CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
,,", ",Unclassified,,,,
assassintation,,"assassintation, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics?,,"narcotics?, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
driveby gang?,,"driveby gang?, ",,,,,
grudge,,"grudge, ",,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics(projects),,"narcotics(projects), ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
narcotics ripoff,,"narcotics ripoff, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
sus 801,hus wife,"sus 801, hus wife",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
narcotics,,"narcotics, ",,,,,
triangle,check race,"triangle, check race",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
triangle,,"triangle, ",,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,sus Samoan,"narcotics, sus Samoan",,,,,
,,", ",Unclassified,,,,
fight,,"fight, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
anger gay,,"anger gay, ",,,,,
narcotics,,"narcotics, ",,,,,
security guard,,"security guard, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
altercation,,"altercation, ",,,,,
argument alcoho,,"argument alcoho, ",,,,,
bus argument,,"bus argument, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
gambling,,"gambling, ",,,,,
mutual combat,,"mutual combat, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
fight,,"fight, ",,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
triangle,,"triangle, ",,,,,
argument,,"argument, ",,,,,
argument gay,,"argument gay, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
family fight,,"family fight, ",,,,,
,,", ",Unclassified,,,,
narcotics argu,,"narcotics argu, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
anger,,"anger, ",,,,,
argu gay,,"argu gay, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,customer kills,"narcotics, customer kills",,,,,
argu re prostitute,,"argu re prostitute, ",,,,,
gay? Nude strangle,,"gay? Nude strangle, ",,,,,
neighbor dispute,,"neighbor dispute, ",,,,,
neighbor dispute,,"neighbor dispute, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
overdose narc,,"overdose narc, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
street fight,,"street fight, ",,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
wino killing,,"wino killing, ",,,,,
gang?,,"gang?, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,,"narcotics, ",,,,,
s harassin wom,,"s harassin wom, ",,,,,
,,", ",Unclassified,,,,
unkonwn,,"unkonwn, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
gang?,found in car,"gang?, found in car",,,,,
,,", ",Unclassified,,,,
revenge,,"revenge, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
narcotics?,,"narcotics?, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
gang,,"gang, ",,,,,
family dispute,,"family dispute, ",,,,,
argument,,"argument, ",,,,,
bro sister,,"bro sister, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
bouncer at bar,,"bouncer at bar, ",,,,,
argument,,"argument, ",,,,,
argu gamble,,"argu gamble, ",,Gamble,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
fight,,"fight, ",,,,,
sus 801 gay?,,"sus 801 gay?, ",,,,,
narcotics,vic Hawaiian,"narcotics, vic Hawaiian",,,,,
narcotics,,"narcotics, ",,,,,
narcotics?,,"narcotics?, ",,,,,
revenge,,"revenge, ",,,,,
,,", ",Unclassified,,,,
mental,,"mental, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
triangle?,,"triangle?, ",,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
gay,,"gay, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
gang,,"gang, ",,,,,
argument,,"argument, ",,,,,
revenge,,"revenge, ",,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
argument,,"argument, ",,,,,
narcotics,,"narcotics, ",,,,,
gang revente,,"gang revente, ",,,,,
gang revente,,"gang revente, ",,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argu narcotics,,"argu narcotics, ",,,,,
narcotic deal,,"narcotic deal, ",,,,,
execution style,,"execution style, ",,,,,
gang revenge,,"gang revenge, ",,,,,
money torture,,"money torture, ",,,,,
argument,,"argument, ",,,,,
revenge,,"revenge, ",,,,,
jealousy,,"jealousy, ",,,,,
parking dispute,,"parking dispute, ",,,,,
gang,,"gang, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
argument,,"argument, ",,,,,
triangle,,"triangle, ",,,,,
triangle,,"triangle, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
anger,,"anger, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics?,,"narcotics?, ",,,,,
narcotics,strangle burned,"narcotics, strangle burned",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
gang,,"gang, ",,,,,
gang,,"gang, ",,,,,
payroll holdup,,"payroll holdup, ",,,,,
projects,,"projects, ",,,,,
,,", ",Unclassified,,,,
unprovoked,,"unprovoked, ",,,,,
,,", ",Unclassified,,,,
fight,,"fight, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argu narcotic?,,"argu narcotic?, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
infanticide,,"infanticide, ",,,,,
,,", ",Unclassified,,,,
racial hate,,"racial hate, ",,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
narcotics?,,"narcotics?, ",,,,,
,,", ",Unclassified,,,,
argu domino gam,,"argu domino gam, ",,,,,
narcotics?,,"narcotics?, ",,,,,
argu prost,,"argu prost, ",,,,,
sus 801,check race eth,"sus 801, check race eth",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
witness assassi,,"witness assassi, ",,,,,
narcotics?,,"narcotics?, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
sus 801,,"sus 801, ",,,,,
argument,,"argument, ",,,,,
gang,,"gang, ",,,,,
narcotics shot seller,,"narcotics shot seller, ",,,,,
kills mom,,"kills mom, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
narcotics,,"narcotics, ",,,,,
narcotics?,,"narcotics?, ",,,,,
gang? Died 1/91,,"gang? Died 1/91, ",,,,,
prostitut argue,,"prostitut argue, ",,,,,
gang? drive by,,"gang? drive by, ",,,,,
gang,,"gang, ",,,,,
,,", ",Unclassified,,,,
triangle,,"triangle, ",,,,,
rejected lover,,"rejected lover, ",,,,,
narc deal,projects visiting,"narc deal, projects visiting",,,,,
argument,,"argument, ",,,,,
whlile walking,,"whlile walking, ",,,,,
,,", ",Unclassified,,,,
no motive drive by,,"no motive drive by, ",,,,,
lovers triangle,,"lovers triangle, ",,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
narcotics,,"narcotics, ",,,,,
gang revenge,,"gang revenge, ",,,,,
sus 801,,"sus 801, ",,,,,
from car tocar,,"from car tocar, ",,,,,
,,", ",Unclassified,,,,
narcoitcs,,"narcoitcs, ",,,,,
gang,,"gang, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
narcotics?,,"narcotics?, ",,,,,
argu fight,,"argu fight, ",,,,,
gang,this guy before,"gang, this guy before",,,,,
narcotics robb,,"narcotics robb, ",,,,,
narcotics robb,,"narcotics robb, ",,,,,
gang,,"gang, ",,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
drive by,,"drive by, ",,,,,
narcotics,,"narcotics, ",,,,,
argument,,"argument, ",,,,,
narcotics,carjack att.,"narcotics, carjack att.",,,,,
narcotics,showed bag cut,"narcotics, showed bag cut",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
gang?,,"gang?, ",,,,,
unprovoked,,"unprovoked, ",,,,,
,,", ",Unclassified,,,,
argument over M/C,,"argument over M/C, ",,,,,
in car,by person talking,"in car, by person talking",,,,,
sus 801,jealousy,"sus 801, jealousy",,,,,
argument,,"argument, ",,,,,
gang,,"gang, ",,,,,
,,", ",Unclassified,,,,
foutht over gun,,"foutht over gun, ",,,,,
,,", ",Unclassified,,,,
playing wi gun,,"playing wi gun, ",,,,,
in car,,"in car, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
triangle,,"triangle, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
revenge s. shot by cop,,"revenge s. shot by cop, ",,,,,
,,", ",Unclassified,,,,
"gay? burg? Bound, naked",,"gay? burg? Bound, naked, ",,,,,
argu,,"argu, ",,,,,
argument,vic found in chest,"argument, vic found in chest",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
mental,,"mental, ",,,,,
over woman,,"over woman, ",,,,,
mental,,"mental, ",,,,,
triangle?,,"triangle?, ",,,,,
argu,,"argu, ",,,,,
,,", ",Unclassified,,,,
by prostitute,,"by prostitute, ",,,,,
,,", ",Unclassified,,,,
alcohol,,"alcohol, ",,,,,
gay? bound,naked,"gay? bound, naked",,,,,
drive by gang?,,"drive by gang?, ",,,,,
gay random,no reason,"gay random, no reason",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
asassination,in auto,"asassination, in auto",,,,,
,,", ",Unclassified,,,,
revenge narcotic,,"revenge narcotic, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
unnonwn,,"unnonwn, ",,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
by crime parts.,,"by crime parts., ",,,,,
gang,,"gang, ",,,,,
bar dispute,,"bar dispute, ",,,,,
argument,,"argument, ",,,,,
revenge,,"revenge, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
narc assassin,,"narc assassin, ",,,,,
,,", ",Unclassified,,,,
abandons,,"abandons, ",,,,,
argument,,"argument, ",,,,,
v. fed informant,revenge,"v. fed informant, revenge",,,,,
rent dispute,,"rent dispute, ",,,,,
to SFGH,dropped off,"to SFGH, dropped off",,,,,
,,", ",Unclassified,,,,
sus 801,bad bus deal,"sus 801, bad bus deal",,,,,
sus 801,bad bus deal,"sus 801, bad bus deal",,,,,
gang,auto to auto,"gang, auto to auto",,,,,
gang?Mex family feud,,"gang?Mex family feud, ",,,,,
child abuse,,"child abuse, ",,,,,
gang,from bar,"gang, from bar",,,,,
gang?,drive by,"gang?, drive by",,,,,
gang?Mex fam feud,from truck,"gang?Mex fam feud, from truck",,,,,
gay? Les,shot by cop also,"gay? Les, shot by cop also",,,,,
unknown,,"unknown, ",Unclassified,,,,
argu mental,,"argu mental, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
street altercatio,,"street altercatio, ",,,,,
Sus 801 Mercy,by son,"Sus 801 Mercy, by son",,,,,
argument,as walking away,"argument, as walking away",,,,,
parracide,,"parracide, ",,,,,
unknown,chased down,"unknown, chased down",,,,,
mental,,"mental, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
argument,,"argument, ",,,,,
gang,,"gang, ",,,,,
narcotic?,,"narcotic?, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
no reason,unprovoked,"no reason, unprovoked",,,,,
unknown,turned self in,"unknown, turned self in",,,,,
argument,,"argument, ",,,,,
gang?,left party,"gang?, left party",,,,,
unknown,,"unknown, ",Unclassified,,,,
argument,re welfare check,"argument, re welfare check",,,,,
in apt,set afire,"in apt, set afire",,,,,
shot leving home,,"shot leving home, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
found in play gr,projects,"found in play gr, projects",,,,,
Gang? driveby,leaving party,"Gang? driveby, leaving party",,,,,
unknown,,"unknown, ",Unclassified,,,,
revenge,,"revenge, ",,,,,
parracide,also attack mom,"parracide, also attack mom",,,,,
narcotics,,"narcotics, ",,,,,
narcotics,crash car shot,"narcotics, crash car shot",,,,,
narcotics,,"narcotics, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
narcotic,shot drives off,"narcotic, shot drives off",,,,,
girl friend,,"girl friend, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
fight in lot,,"fight in lot, ",,,,,
narc?,in car shot,"narc?, in car shot",,,,,
street fight,,"street fight, ",,,,,
fight,,"fight, ",,,,,
in street,,"in street, ",,,,,
,,", ",Unclassified,,,,
gang,,"gang, ",,,,,
revenge,,"revenge, ",,,,,
sus 801 lovers,,"sus 801 lovers, ",,,,,
Gay lovers fight,,"Gay lovers fight, ",,,,,
alcohol argu,,"alcohol argu, ",,,,,
argument,,"argument, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gang,,"gang, ",,,,,
s upset at friend,,"s upset at friend, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
fight,,"fight, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
,,", ",Unclassified,,,,
argument,,"argument, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
,,", ",Unclassified,,,,
unknown,gang YGC,"unknown, gang YGC",,,,,
,,", ",Unclassified,,,,
fight,,"fight, ",,,,,
neighbor disput,,"neighbor disput, ",,,,,
gang?,driveby,"gang?, driveby",,,,,
gang,shot at bustop,"gang, shot at bustop",,,,,
Assault,,"Assault, ",,,,,
,,", ",Unclassified,,,,
mental,insane,"mental, insane",,,,,
argument,,"argument, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
unknown,friend dr to hosp,"unknown, friend dr to hosp",,,,,
,,", ",Unclassified,,,,
unknown,while driving,"unknown, while driving",,,,,
,,", ",Unclassified,,,,
gang war,,"gang war, ",,,,,
unknown,in bar,"unknown, in bar",,,,,
,,", ",Unclassified,,,,
unknown,to car shot,"unknown, to car shot",,,,,
suicide pact,only girl dies,"suicide pact, only girl dies",,,,,
traffic dispute,,"traffic dispute, ",,,,,
,,", ",Unclassified,,,,
argu roomate,,"argu roomate, ",,,,,
,,", ",Unclassified,,,,
drive by,drov up shot head,"drive by, drov up shot head",,,,,
street stomp,,"street stomp, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
,,", ",Unclassified,,,,
dispute alcohol,,"dispute alcohol, ",,,,,
narcotics?,,"narcotics?, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
triangle,,"triangle, ",,,,,
narc debt,,"narc debt, ",,,,,
,,", ",Unclassified,,,,
narcotics?,,"narcotics?, ",,,,,
,,", ",Unclassified,,,,
unprovoked,,"unprovoked, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,school bathroom,"unknown, school bathroom",,,,,
,,", ",Unclassified,,,,
sus 801,mom son the self,"sus 801, mom son the self",,,,,
disrespect,,"disrespect, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
boy girl friend,,"boy girl friend, ",,,,,
revenge dupe,parents?,"revenge dupe, parents?",,,,,
revenge,parents?,"revenge, parents?",,,,,
unknown,,"unknown, ",Unclassified,,,,
narcotics,,"narcotics, ",,,,,
unknown alcoh,,"unknown alcoh, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
jealousy,,"jealousy, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
dispute,,"dispute, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gang narcotics,,"gang narcotics, ",,,,,
,,", ",Unclassified,,,,
gang rob kidnapbery kidnap,,"gang rob kidnapbery kidnap, ",,,,,
burned trauma,,"burned trauma, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
fight,,"fight, ",,,,,
argument,,"argument, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
Fun center,,"Fun center, ",,,,,
robber? shot?,,"robber? shot?, ",,,,,
,group,", group",,,,,
unknown,in street,"unknown, in street",,,,,
,,", ",Unclassified,,,,
at curb Hunts,,"at curb Hunts, ",,,,,
driver,ped tries to sellcra,"driver, ped tries to sellcra",,,,,
narcotics?,,"narcotics?, ",,,,,
bad blood,,"bad blood, ",,,,,
,,", ",Unclassified,,,,
drugs,,"drugs, ",,,,,
fight,,"fight, ",,,,,
altercation,,"altercation, ",,,,,
get out of car,,"get out of car, ",,,,,
altercation,,"altercation, ",,,,,
dispute,,"dispute, ",,,,,
gang,,"gang, ",,,,,
acquaintance,,"acquaintance, ",,,,,
narcotic?,,"narcotic?, ",,,,,
roomate,argu re groceries,"roomate, argu re groceries",,,,,
gang ten atack,v. no gang ties,"gang ten atack, v. no gang ties",,,,,
bird lover,kills,"bird lover, kills",,,,,
unknown,,"unknown, ",Unclassified,,,,
boy girl friend,,"boy girl friend, ",,,,,
dispute on bus,,"dispute on bus, ",,,,,
ligature,,"ligature, ",,,,,
gay,,"gay, ",,,,,
narcotics,crack buyrer,"narcotics, crack buyrer",,,,,
over girl,,"over girl, ",,,,,
narcotics,,"narcotics, ",,,,,
sus 801,brothers,"sus 801, brothers",,,,,
gay? In phone booth,pants down,"gay? In phone booth, pants down",,,,,
carjack,ran into ped,"carjack, ran into ped",,,,,
unknown,,"unknown, ",Unclassified,,,,
homicide,in bed,"homicide, in bed",,,,,
group confront,,"group confront, ",,,,,
accid bump,no forgiveness,"accid bump, no forgiveness",,,,,
verbal exchang,,"verbal exchang, ",,,,,
over girl,,"over girl, ",,,,,
over girl  dupe,,"over girl  dupe, ",,,,,
argu re crac pip,,"argu re crac pip, ",,,,,
shot in car,,"shot in car, ",,,,,
sus 801,killed wif in Fremon,"sus 801, killed wif in Fremon",,,,,
narcotics,in head,"narcotics, in head",,,,,
stole v. auto,dump off cliff,"stole v. auto, dump off cliff",,,,,
in saloon,,"in saloon, ",,,Saloon,,
fight,,"fight, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in hotel room,,"in hotel room, ",,,,,
from auto,,"from auto, ",,,,,
in saloon,,"in saloon, ",,,Saloon,,
crack dealers,by custom,"crack dealers, by custom",,,,,
crack dealers,by customer?,"crack dealers, by customer?",,,,,
boy friend girl,self defense,"boy friend girl, self defense",,,,,
encamped,,"encamped, ",,,,,
sets her house,on fire,"sets her house, on fire",,,,,
her house onfire,,"her house onfire, ",,,,,
rear of club,,"rear of club, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gay,,"gay, ",,,,,
in card box,,"in card box, ",,,,,
on stoop,,"on stoop, ",,,,,
narc money,,"narc money, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
,witnessed,", witnessed",,,,,
unknown,,"unknown, ",Unclassified,,,,
,fired into car,", fired into car",,,,,
gang,,"gang, ",,,,,
not mom,mental,"not mom, mental",,,,,
infant,skull fractures,"infant, skull fractures",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,found in car,"unknown, found in car",Unclassified,,,,
from auto,car ful of drunks,"from auto, car ful of drunks",,,,,
unknown,,"unknown, ",Unclassified,,,,
in auto,found,"in auto, found",,,,,
narcotics,dead dealer,"narcotics, dead dealer",,,,,
narcotics?,dead dealer,"narcotics?, dead dealer",,,,,
in auto,,"in auto, ",,,,,
in house,,"in house, ",,,,,
verbal altercation,w.unk in gas sta,"verbal altercation, w.unk in gas sta",,,,,
in room 6th st,burst in,"in room 6th st, burst in",,,,,
at front door,,"at front door, ",,,,,
at front door,,"at front door, ",,,,,
assault,,"assault, ",,,,,
in street,,"in street, ",,,,,
gang,,"gang, ",,,,,
in street,,"in street, ",,,,,
in street,from auto,"in street, from auto",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,ex boy friend,"sus 801, ex boy friend",,,,,
drieveby,,"drieveby, ",,,,,
girl friend,infidelity?,"girl friend, infidelity?",,,,,
in restaurarnt,,"in restaurarnt, ",,,,,
gun,,"gun, ",,,,,
from auto,,"from auto, ",,,,,
from auto,,"from auto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
ditto,,"ditto, ",,,,,
101 Calif,,"101 Calif, ",,,,,
fight,,"fight, ",,,,,
runnign quarrel,,"runnign quarrel, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
by pimps,harassing ho/s,"by pimps, harassing ho/s",,,,,
unprovoked,,"unprovoked, ",,,,,
unkonwn,,"unkonwn, ",,,,,
argument in hall,,"argument in hall, ",,,,,
chasing around,in car,"chasing around, in car",,,,,
unknown,,"unknown, ",Unclassified,,,,
kidnap,,"kidnap, ",,,,,
parracide,,"parracide, ",,,,,
self defense,s. shot dad first,"self defense, s. shot dad first",,,,,
gay prostitute,,"gay prostitute, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
arson,,"arson, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
assassination,,"assassination, ",,,,,
in fracas,,"in fracas, ",,,,,
drun in hotel,,"drun in hotel, ",,,,,
body found USF,bound and wrapped,"body found USF, bound and wrapped",,,,,
unknown,,"unknown, ",Unclassified,,,,
in procjects,,"in procjects, ",,,,,
on street,,"on street, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in narc gunfite,not intended vic,"in narc gunfite, not intended vic",,,,,
dumped in park,,"dumped in park, ",,,,,
unknown floating,same as above dupe,"unknown floating, same as above dupe",,,,,
race hate?,,"race hate?, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
on street,,"on street, ",,,,,
found in car,,"found in car, ",,,,,
,,", ",Unclassified,,,,
diamond merch,,"diamond merch, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
narc overdose,s. administered,"narc overdose, s. administered",,,,,
shot in gan fite,,"shot in gan fite, ",,,,,
in street,,"in street, ",,,,,
sus 801off bridge,with baby,"sus 801off bridge, with baby",,,,,
altercat street,,"altercat street, ",,,,,
arson fire,,"arson fire, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gay? Roomates,,"gay? Roomates, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown Robb?,,"unknown Robb?, ",Unclassified,,,,
unknown turf?,,"unknown turf?, ",Unclassified,,,,
,,", ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
argument,,"argument, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,sitting in traffic,"unknown, sitting in traffic",Unclassified,,,,
prost death,,"prost death, ",,,,,
Gay?,young f stayed wi him,"Gay?, young f stayed wi him",,,,,
gang in garage,,"gang in garage, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in car,,"in car, ",,,,,
by crack dealer,,"by crack dealer, ",,,,,
found in street,multiple,"found in street, multiple",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
with stab wounds,,"with stab wounds, ",,,,,
in parent's beef,,"in parent's beef, ",,,,,
fight in club,,"fight in club, ",,,,,
strangled,,"strangled, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gay meth dealer,duct taped,"gay meth dealer, duct taped",,,,,
two groups of blacks,,"two groups of blacks, ",,,,,
at High school,,"at High school, ",,,,,
argue,,"argue, ",,,,,
found,,"found, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
narcotic angle,,"narcotic angle, ",,,,,
by narc dealer,,"by narc dealer, ",,,,,
sus 801,boy girl friend,"sus 801, boy girl friend",,,,,
found in rest.,,"found in rest., ",,,,,
crak addict,,"crak addict, ",,,,,
street argue,,"street argue, ",,,,,
crack dealer,,"crack dealer, ",,,,,
killed good smaritan,,"killed good smaritan, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gay? Dismembered,,"gay? Dismembered, ",,,,,
unknown gay?,,"unknown gay?, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
in bar,,"in bar, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
payback,,"payback, ",,,,,
unknown gay?,,"unknown gay?, ",Unclassified,,,,
over narc debt,,"over narc debt, ",,,,,
in closet,,"in closet, ",,,,,
in car,,"in car, ",,,,,
beat in streat,,"beat in streat, ",,,,,
fite re tv,,"fite re tv, ",,,,,
beaten,,"beaten, ",,,,,
sus 801 gay?,,"sus 801 gay?, ",,,,,
family?,,"family?, ",,,,,
family?,,"family?, ",,,,,
unknown in auto,,"unknown in auto, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
sus 801,,"sus 801, ",,,,,
dupe sus 801,,"dupe sus 801, ",,,,,
gang killing,,"gang killing, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
by asian gang,,"by asian gang, ",,,,,
2226 Pacific,,"2226 Pacific, ",,,,,
gang?,,"gang?, ",,,,,
dispute re bet..,,"dispute re bet.., ",,,,,
quarrel in hotel,,"quarrel in hotel, ",,,,,
